id,signe,definition
3535,NS:OSTENDE(ONCLE),Ostende
663,RESPIRER,"respirer, respiration"
3734,VOYAGE.BOUCLE,"voyage, circulation, voyager"
2137,MOTO,"moto, jet-ski"
3088,SEMAINE-PLURIEL,"semaines, par semaine, plusieurs semaines"
3276,MATIN(PL),tous les matins
3406,RAPPORT,"rapport, pv"
3828,CHAMBRE-A-COUCHER,chambre (à coucher)
334,MAISON,"maison, foyer"
2249,DE:CERVEAU-CASSE,"être déconnecté de la réalité, ne penser à rien"
585,NIVEAU.HAUT,"niveau haut, augmenter, au dessus"
1723,NS:LIEGE(LUNETTES),"Liège, liégeois"
1458,COMPRENDRE.MEMOIRE,"comprendre, retenir, mémoriser, apprendre"
2441,OZONE,couche d'ozone
533,TOUCHER,toucher
3110,NS:UCCLE(FAINEANT),Uccle
678,MEDICAMENT,"médicament, pharmacie"
375,NAISSANCE,"naître, naissance, né, accoucher"
1685,LISTE,"lexique, liste, plusieurs, plusieurs fois"
1368,MOIS-9,neuf mois
2870,CRAYON.F-TOURNER,crayon
1500,FAUX.TRICHER,"faux, tricher"
4038,MEDICAMENT.CAFE,"médicament, médoc, pharmacie"
895,DROIT.OBLIGER,droit
894,APPORTER,"apporter, amener, transport, transporter"
4016,CERISE.JOUE,"cerise, cerisier"
267,FRERE,"frère, garçon"
3789,LAVER-CHEVEUX,laver les cheveux
3942,YEUX.C,"yeux, mal vu, flou"
1607,PAR-MOIS,"par mois, chaque mois"
495,RUMEUR,"rumeur, bavardage, bavarder, blablabla"
3373,HOMO.KETCHUP,"homo, pd, tapette gay"
2397,JOURNAL.J,Journal
4146,AN-1-PASSE,l'année passé
1126,MALENTENDANT,malentendant
672,VACHE,vache
1719,SEPTEMBRE,septembre
3251,CLASSIFICATEUR,classificateur
3806,MORCEAUX.QUARTIER,"tarte, gâteau, morceau, quart, partie"
3408,NS:MAURICE(116),Maurice
1285,ACCIDENT,accident
1468,EXCLUSION.RIEN,"exclure, exclusion, virer, renvoyer, rejeter"
2093,NS:BENOÎT(B),Benoît
3708,MAIGRIR.FIL,"maigrir, mince"
3627,ORAL.10,"oral, mouvement des lèvres, articuler"
1513,TIRER,tirer (une corde)
